time,PL21A
2021-12-19,2.5128572
2021-12-20,-2.6442857
2021-12-21,-2.7271428
2021-12-22,-3.4942858
2021-12-23,-5.2949996
2021-12-24,-0.70785713
2021-12-25,-13.714286
2021-12-26,0.08999999
2021-12-27,6.6371427
2021-12-28,9.567857
2021-12-29,4.122857
2021-12-30,0.85642856
2021-12-31,-0.7628571
