time,ITG2H
2021-12-10,5.06
2021-12-11,4.135
2021-12-12,10.422501
2021-12-13,10.3
2021-12-14,9.642499
2021-12-15,9.507501
2021-12-16,8.195
2021-12-17,5.9124994
2021-12-18,5.7024994
2021-12-19,3.2599998
2021-12-20,4.7
2021-12-21,3.455
2021-12-22,0.43249997
2021-12-23,5.705
2021-12-24,6.845
2021-12-25,5.365
2021-12-26,4.8075
2021-12-27,6.55
2021-12-28,8.5225
2021-12-29,8.1025
2021-12-30,11.245
2021-12-31,12.7675
