time,DEC04
2021-08-10,22.93333
2021-08-11,23.104443
2021-08-12,23.018887
2021-08-13,24.943335
2021-08-14,24.507776
2021-08-15,24.772224
2021-08-16,24.923332
2021-08-17,23.609999
2021-08-18,22.195555
2021-08-19,21.795555
2021-08-20,20.593332
2021-08-21,21.435555
2021-08-22,23.634443
2021-08-23,25.534443
2021-08-24,24.24
2021-08-25,22.84111
2021-08-26,22.684443
2021-08-27,21.975555
2021-08-28,20.55111
2021-08-29,20.293335
2021-08-30,21.316668
2021-08-31,21.987778
2021-09-01,21.235556
2021-09-02,21.288889
2021-09-03,20.90222
2021-09-04,21.62111
2021-09-05,24.57
2021-09-06,26.28111
2021-09-07,22.714445
2021-09-08,20.586666
2021-09-09,20.776665
2021-09-10,21.404444
2021-09-11,22.244444
2021-09-12,23.44111
2021-09-13,21.61222
2021-09-14,19.633333
2021-09-15,20.793333
2021-09-16,21.117777
2021-09-17,19.70222
2021-09-18,18.213333
2021-09-19,19.436666
2021-09-20,20.072222
2021-09-21,20.283333
2021-09-22,19.789999
2021-09-23,18.652222
2021-09-24,19.313332
2021-09-25,17.82
2021-09-26,18.736666
2021-09-27,19.434444
2021-09-28,18.494444
2021-09-29,18.65
2021-09-30,19.042223
2021-10-01,20.83
2021-10-02,20.99111
2021-10-03,16.409998
2021-10-04,17.573334
2021-10-05,19.113335
2021-10-06,20.972221
2021-10-07,21.5
2021-10-08,21.443335
2021-10-09,21.134445
2021-10-10,21.12889
2021-10-11,20.996666
2021-10-12,20.712223
2021-10-13,20.897776
2021-10-14,19.558887
2021-10-15,18.665554
2021-10-16,19.112223
2021-10-17,20.653332
2021-10-18,22.198889
2021-10-19,21.564445
2021-10-20,20.943333
2021-10-21,18.088888
2021-10-22,17.601112
2021-10-23,16.563332
2021-10-24,16.722221
2021-10-25,17.107779
2021-10-26,17.363335
2021-10-27,17.04889
2021-10-28,16.31778
2021-10-29,16.85222
2021-10-30,19.71889
2021-10-31,19.184443
2021-11-01,17.195555
2021-11-02,15.165556
2021-11-03,12.918889
2021-11-04,11.336666
2021-11-05,11.034444
2021-11-06,10.888888
2021-11-07,10.389999
2021-11-08,12.925555
2021-11-09,14.013332
2021-11-10,12.392221
2021-11-11,12.047777
2021-11-12,10.852222
2021-11-13,12.486667
2021-11-14,12.278889
2021-11-15,11.122222
2021-11-16,12.725555
2021-11-17,12.348889
2021-11-18,12.637777
2021-11-19,14.062222
2021-11-20,14.102222
2021-11-21,12.433333
2021-11-22,10.878888
2021-11-23,8.184444
2021-11-24,9.3955555
2021-11-25,9.14111
2021-11-26,7.7677784
2021-11-27,9.364445
2021-11-28,8.6888895
2021-11-29,11.706667
2021-11-30,8.581111
2021-12-01,9.328889
2021-12-02,10.667777
2021-12-03,9.210001
2021-12-04,12.161111
2021-12-05,12.097778
2021-12-06,11.956666
2021-12-07,11.593333
2021-12-08,11.23
2021-12-09,12.874445
2021-12-10,13.133333
2021-12-11,12.278889
2021-12-12,12.073334
2021-12-13,12.635555
2021-12-14,11.252222
2021-12-15,10.205556
2021-12-16,11.761111
2021-12-17,11.209999
2021-12-18,9.984444
2021-12-19,12.332221
2021-12-20,14.097777
2021-12-21,16.157778
2021-12-22,16.681112
2021-12-23,15.058888
2021-12-24,14.386666
2021-12-25,14.493332
2021-12-26,15.438889
2021-12-27,17.224445
2021-12-28,17.285555
2021-12-29,15.048889
2021-12-30,13.848888
2021-12-31,13.718888
