time,NO0A1
2021-06-07,16.49
2021-06-08,17.92
2021-06-09,18.14
2021-06-10,18.039999
2021-06-11,18.52
2021-06-12,17.15
2021-06-13,15.86
2021-06-14,16.14
2021-06-15,17.109999
2021-06-16,16.41
2021-06-17,19.029999
2021-06-18,22.519999
2021-06-19,25.24
2021-06-20,26.099998
2021-06-21,26.519999
2021-06-22,24.23
2021-06-23,19.77
2021-06-24,18.609999
2021-06-25,19.55
2021-06-26,18.619999
2021-06-27,18.93
2021-06-28,19.22
2021-06-29,19.68
2021-06-30,22.14
2021-07-01,20.529999
2021-07-02,19.76
2021-07-03,20.22
2021-07-04,20.779999
2021-07-05,21.119999
2021-07-06,21.98
2021-07-07,22.16
2021-07-08,19.89
2021-07-09,21.59
2021-07-10,20.439999
2021-07-11,19.49
2021-07-12,21.49
2021-07-13,22.539999
2021-07-14,23.92
2021-07-15,24.029999
2021-07-16,24.039999
2021-07-17,23.67
2021-07-18,22.16
2021-07-19,19.68
2021-07-20,18.789999
2021-07-21,19.699999
2021-07-22,19.06
2021-07-23,19.91
2021-07-24,19.47
2021-07-25,21.18
2021-07-26,23.019999
2021-07-27,23.65
2021-07-28,21.88
2021-07-29,21.369999
2021-07-30,19.83
2021-07-31,20.8
2021-08-01,19.35
2021-08-02,18.18
2021-08-03,17.85
2021-08-04,16.56
2021-08-05,16.64
2021-08-06,17.779999
2021-08-07,19.77
2021-08-08,19.92
2021-08-09,18.64
2021-08-10,19.369999
2021-08-11,17.43
2021-08-12,18.93
2021-08-13,19.42
2021-08-14,20.699999
2021-08-15,19.77
2021-08-16,21.06
2021-08-17,16.5
2021-08-18,16.529999
2021-08-19,17.59
2021-08-20,17.869999
2021-08-21,17.22
2021-08-22,15.78
2021-08-23,17.119999
2021-08-24,15.71
2021-08-25,14.16
2021-08-26,14.54
2021-08-27,14.57
2021-08-28,15.009999
2021-08-29,15.58
2021-08-30,16.38
2021-08-31,16.369999
2021-09-01,15.9
2021-09-02,15.33
2021-09-03,15.46
2021-09-04,13.08
2021-09-05,12.61
2021-09-06,14.099999
2021-09-07,16.18
2021-09-08,17.1
2021-09-09,18.26
2021-09-10,18.92
2021-09-11,18.869999
2021-09-12,18.369999
2021-09-13,16.92
2021-09-14,15.57
2021-09-15,16.01
2021-09-16,16.8
2021-09-17,15.95
2021-09-18,12.799999
2021-09-19,11.36
2021-09-20,11.38
2021-09-21,10.74
2021-09-22,10.94
2021-09-23,13.29
2021-09-24,13.4
2021-09-25,15.62
2021-09-26,13.87
2021-09-27,14.62
2021-09-28,13.78
2021-09-29,13.21
2021-09-30,12.73
2021-10-01,11.509999
2021-10-02,12.19
2021-10-03,14.509999
2021-10-04,14.549999
2021-10-05,15.009999
2021-10-06,15.04
2021-10-07,12.059999
2021-10-08,9.42
2021-10-09,7.77
2021-10-10,7.7999997
2021-10-11,8.24
2021-10-12,8.67
2021-10-13,7.62
2021-10-14,7.3199997
2021-10-15,11.42
2021-10-16,9.38
2021-10-17,9.21
2021-10-18,7.75
2021-10-19,8.73
2021-10-20,14.36
2021-10-21,13.2
2021-10-22,8.059999
2021-10-23,7.29
2021-10-24,6.43
2021-10-25,7.25
2021-10-26,8.33
2021-10-27,10.309999
2021-10-28,12.23
2021-10-29,9.26
2021-10-30,9.4
2021-10-31,11.0199995
2021-11-01,10.2699995
2021-11-02,8.29
2021-11-03,8.59
2021-11-04,6.92
2021-11-05,8.5199995
2021-11-06,8.8
2021-11-07,8.48
2021-11-08,6.8599997
2021-11-09,4.69
2021-11-10,7.0499997
2021-11-11,7.24
2021-11-12,7.16
2021-11-13,5.62
2021-11-14,7.0699997
2021-11-15,6.12
2021-11-16,5.5099998
2021-11-17,4.89
2021-11-18,6.58
2021-11-19,10.09
2021-11-20,10.28
2021-11-21,7.69
2021-11-22,3.87
2021-11-23,3.83
2021-11-24,5.93
2021-11-25,5.56
2021-11-26,4.83
2021-11-27,2.4199998
2021-11-28,1.89
2021-11-29,2.6499999
2021-11-30,1.25
2021-12-01,0.65
2021-12-02,4.31
2021-12-03,0.83
2021-12-04,1.17
2021-12-05,1.4499999
2021-12-06,0.02
2021-12-07,-3.1699998
2021-12-08,-4.92
2021-12-09,-3.0
2021-12-10,0.14
2021-12-11,-0.94
2021-12-12,-1.81
2021-12-13,0.64
2021-12-14,3.79
2021-12-15,5.27
2021-12-16,6.71
2021-12-17,4.97
2021-12-18,4.14
2021-12-19,4.61
2021-12-20,0.35
2021-12-21,-1.3
2021-12-22,-2.02
2021-12-23,-1.42
2021-12-24,-0.79999995
2021-12-25,-3.1399999
2021-12-26,-3.1899998
2021-12-27,-4.83
2021-12-28,-5.18
2021-12-29,-1.8499999
2021-12-30,1.5899999
2021-12-31,6.24
