time,SK031
2021-08-06,18.08
2021-08-07,16.765
2021-08-08,17.085
2021-08-09,17.0
2021-08-10,17.43
2021-08-11,16.615
2021-08-12,17.375
2021-08-13,17.39
2021-08-14,17.7
2021-08-15,17.349998
2021-08-16,15.855
2021-08-17,15.785
2021-08-18,17.845
2021-08-19,16.849998
2021-08-20,17.5
2021-08-21,17.695
2021-08-22,18.130001
2021-08-23,17.615
2021-08-24,16.485
2021-08-25,16.349998
2021-08-26,16.1
2021-08-27,15.225
2021-08-28,16.134998
2021-08-29,14.705
2021-08-30,16.075
2021-08-31,15.46
2021-09-01,15.245
2021-09-02,15.799999
2021-09-03,15.139999
2021-09-04,15.875
2021-09-05,17.099998
2021-09-06,19.2
2021-09-07,20.294998
2021-09-08,20.175
2021-09-09,19.695
2021-09-10,19.34
2021-09-11,18.494999
2021-09-12,15.299999
2021-09-13,15.51
2021-09-14,16.15
2021-09-15,16.06
2021-09-16,16.265
2021-09-17,16.439999
2021-09-18,17.404999
2021-09-19,17.205
2021-09-20,15.184999
2021-09-21,15.4
2021-09-22,15.789999
2021-09-23,16.115
2021-09-24,17.064999
2021-09-25,17.935
2021-09-26,17.93
2021-09-27,15.025
2021-09-28,14.594999
2021-09-29,11.959999
2021-09-30,11.965
2021-10-01,14.15
2021-10-02,10.869999
2021-10-03,11.285
2021-10-04,13.049999
2021-10-05,11.57
2021-10-06,12.32
2021-10-07,15.295
2021-10-08,16.3
2021-10-09,13.68
2021-10-10,13.955
2021-10-11,11.965
2021-10-12,11.914999
2021-10-13,12.709999
2021-10-14,13.35
2021-10-15,10.855
2021-10-16,10.445
2021-10-17,12.789999
2021-10-18,12.955
2021-10-19,16.485
2021-10-20,14.105
2021-10-21,8.434999
2021-10-22,9.335
2021-10-23,10.455
2021-10-24,12.24
2021-10-25,12.2
2021-10-26,11.195
2021-10-27,14.785
2021-10-28,13.82
2021-10-29,12.28
2021-10-30,10.34
2021-10-31,8.785
2021-11-01,9.48
2021-11-02,7.415
2021-11-03,6.21
2021-11-04,7.7549996
2021-11-05,7.125
2021-11-06,10.525
2021-11-07,10.42
2021-11-08,8.014999
2021-11-09,11.945
2021-11-10,11.55
2021-11-11,9.975
2021-11-12,10.93
2021-11-13,11.92
2021-11-14,10.525
2021-11-15,9.555
2021-11-16,8.285
2021-11-17,9.139999
2021-11-18,10.405001
2021-11-19,12.254999
2021-11-20,10.025
2021-11-21,6.2349997
2021-11-22,5.7299995
2021-11-23,5.865
2021-11-24,6.3849998
2021-11-25,4.02
2021-11-26,5.055
2021-11-27,3.1
2021-11-28,1.29
2021-11-29,1.4949999
2021-11-30,7.4849997
2021-12-01,7.6949997
2021-12-02,2.755
2021-12-03,4.0099998
2021-12-04,5.305
2021-12-05,5.0199995
2021-12-06,2.9499998
2021-12-07,3.3899999
2021-12-08,5.245
2021-12-09,5.5
2021-12-10,5.2249994
2021-12-11,4.175
2021-12-12,9.53
2021-12-13,9.1
2021-12-14,9.025
2021-12-15,10.225
2021-12-16,7.975
2021-12-17,5.755
2021-12-18,5.63
2021-12-19,4.16
2021-12-20,4.745
2021-12-21,3.4
2021-12-22,0.6
2021-12-23,4.595
2021-12-24,5.85
2021-12-25,3.27
2021-12-26,3.6599998
2021-12-27,6.2799997
2021-12-28,7.21
2021-12-29,7.255
2021-12-30,10.76
2021-12-31,11.87
