time,DK013
2021-12-01,7.7100005
2021-12-02,2.2666667
2021-12-03,3.4333332
2021-12-04,4.6366663
2021-12-05,3.6833332
2021-12-06,2.4399998
2021-12-07,3.1433334
2021-12-08,4.806667
2021-12-09,2.7366667
2021-12-10,2.58
2021-12-11,1.2933332
2021-12-12,7.22
2021-12-13,9.160001
2021-12-14,8.849999
2021-12-15,9.786666
2021-12-16,8.47
2021-12-17,8.2
2021-12-18,7.6399994
2021-12-19,7.143333
2021-12-20,2.2166667
2021-12-21,-0.49666667
2021-12-22,-2.43
2021-12-23,1.2399999
2021-12-24,5.15
2021-12-25,-2.1733334
2021-12-26,-2.3733332
2021-12-27,1.8566666
2021-12-28,6.42
2021-12-29,7.0733333
2021-12-30,11.196667
2021-12-31,12.709999
