time,FI1C5
2021-07-09,26.25077
2021-07-10,23.74
2021-07-11,23.531538
2021-07-12,24.226921
2021-07-13,25.35077
2021-07-14,26.941538
2021-07-15,25.764614
2021-07-16,24.197691
2021-07-17,24.620003
2021-07-18,24.849998
2021-07-19,22.500767
2021-07-20,21.336924
2021-07-21,19.544615
2021-07-22,19.691538
2021-07-23,20.02077
2021-07-24,21.015383
2021-07-25,21.68769
2021-07-26,24.51769
2021-07-27,26.07846
2021-07-28,26.451536
2021-07-29,25.093843
2021-07-30,24.112307
2021-07-31,24.27769
2021-08-01,24.787691
2021-08-02,21.988462
2021-08-03,20.576923
2021-08-04,21.576923
2021-08-05,21.817692
2021-08-06,19.043846
2021-08-07,20.033077
2021-08-08,22.896152
2021-08-09,23.763845
2021-08-10,23.430767
2021-08-11,22.756153
2021-08-12,21.521536
2021-08-13,20.803844
2021-08-14,23.07846
2021-08-15,24.996153
2021-08-16,26.059227
2021-08-17,22.943077
2021-08-18,17.453846
2021-08-19,16.929232
2021-08-20,19.08154
2021-08-21,19.813845
2021-08-22,20.91846
2021-08-23,22.126923
2021-08-24,19.81
2021-08-25,15.962306
2021-08-26,16.000769
2021-08-27,14.506923
2021-08-28,14.129231
2021-08-29,15.013846
2021-08-30,16.07
2021-08-31,15.125385
2021-09-01,16.076153
2021-09-02,15.357692
2021-09-03,14.7930765
2021-09-04,16.24769
2021-09-05,16.122307
2021-09-06,15.062307
2021-09-07,14.663077
2021-09-08,16.130768
2021-09-09,16.433077
2021-09-10,16.707691
2021-09-11,17.761538
2021-09-12,18.15846
2021-09-13,18.88846
2021-09-14,19.27692
2021-09-15,19.664614
2021-09-16,20.963846
2021-09-17,20.59154
2021-09-18,15.92923
2021-09-19,13.852308
2021-09-20,11.932308
2021-09-21,10.585383
2021-09-22,9.286154
2021-09-23,10.114615
2021-09-24,13.3876915
2021-09-25,14.7846155
2021-09-26,17.65
2021-09-27,17.152308
2021-09-28,15.790768
2021-09-29,13.9107685
2021-09-30,12.937692
2021-10-01,13.326155
2021-10-02,12.186922
2021-10-03,13.262308
2021-10-04,13.8792305
2021-10-05,15.325384
2021-10-06,13.215384
2021-10-07,12.4400015
2021-10-08,9.956153
2021-10-09,6.6984615
2021-10-10,8.944615
2021-10-11,8.990769
2021-10-12,9.100769
2021-10-13,7.1069236
2021-10-14,6.398461
2021-10-15,6.841538
2021-10-16,8.992308
2021-10-17,8.446923
2021-10-18,8.083846
2021-10-19,8.727693
2021-10-20,10.21077
2021-10-21,12.519231
2021-10-22,13.298461
2021-10-23,9.386153
2021-10-24,5.822307
2021-10-25,6.0699997
2021-10-26,6.593076
2021-10-27,6.5230765
2021-10-28,7.097692
2021-10-29,8.8392315
2021-10-30,10.043845
2021-10-31,8.401539
2021-11-01,6.789231
2021-11-02,6.289231
2021-11-03,8.164615
2021-11-04,14.408462
2021-11-05,11.797692
2021-11-06,8.313846
2021-11-07,7.8115387
2021-11-08,7.8561535
2021-11-09,5.5761538
2021-11-10,3.8015382
2021-11-11,3.6453846
2021-11-12,3.4553845
2021-11-13,2.6415384
2021-11-14,4.961538
2021-11-15,5.3530765
2021-11-16,5.013077
2021-11-17,3.4130769
2021-11-18,1.2415384
2021-11-19,4.54
2021-11-20,7.910769
2021-11-21,5.6899996
2021-11-22,4.352308
2021-11-23,4.224615
2021-11-24,0.66615385
2021-11-25,1.1084615
2021-11-26,3.8100002
2021-11-27,5.048462
2021-11-28,7.885384
2021-11-29,5.581538
2021-11-30,0.76
2021-12-01,3.3923073
2021-12-02,6.213077
2021-12-03,3.7615383
2021-12-04,-2.2230768
2021-12-05,0.90923077
2021-12-06,3.2392306
2021-12-07,1.2976922
2021-12-08,-0.099999994
2021-12-09,0.24076922
2021-12-10,2.1961539
2021-12-11,1.5969231
2021-12-12,1.9276924
2021-12-13,0.48461536
2021-12-14,-0.39461538
2021-12-15,0.10615385
2021-12-16,1.6830769
2021-12-17,2.416154
2021-12-18,2.2023077
2021-12-19,2.973077
2021-12-20,1.3392308
2021-12-21,-3.093077
2021-12-22,-5.5707693
2021-12-23,-5.7007694
2021-12-24,1.4638461
2021-12-25,4.486154
2021-12-26,0.946923
2021-12-27,-1.0546153
2021-12-28,0.08846155
2021-12-29,0.89384615
2021-12-30,1.9138461
2021-12-31,5.196923
