time,DEF0A
2021-12-04,6.9025
2021-12-05,7.650416
2021-12-06,6.7216663
2021-12-07,8.430833
2021-12-08,8.614583
2021-12-09,7.4429164
2021-12-10,9.458334
2021-12-11,10.862083
2021-12-12,10.541667
2021-12-13,10.201667
2021-12-14,9.0075
2021-12-15,9.045417
2021-12-16,8.709582
2021-12-17,8.875415
2021-12-18,8.185416
2021-12-19,9.269166
2021-12-20,8.432082
2021-12-21,11.300832
2021-12-22,10.360832
2021-12-23,10.062499
2021-12-24,10.560416
2021-12-25,10.837083
2021-12-26,11.519166
2021-12-27,12.760417
2021-12-28,11.272499
2021-12-29,10.1575
2021-12-30,11.536251
2021-12-31,11.459167
