time,DEA1F
2021-11-14,2.8941667
2021-11-15,2.8508332
2021-11-16,1.2408333
2021-11-17,1.1899999
2021-11-18,3.1991665
2021-11-19,4.638333
2021-11-20,7.0091667
2021-11-21,4.6125
2021-11-22,3.1050003
2021-11-23,-0.020000016
2021-11-24,-1.3366667
2021-11-25,-0.16666664
2021-11-26,0.86833334
2021-11-27,-0.3141667
2021-11-28,0.18916667
2021-11-29,-1.8274999
2021-11-30,-1.785
2021-12-01,0.185
2021-12-02,2.0125
2021-12-03,-3.1308334
2021-12-04,-3.7583332
2021-12-05,-1.6550001
2021-12-06,-2.430833
2021-12-07,-3.2441664
2021-12-08,-5.9991665
2021-12-09,-4.3491664
2021-12-10,-2.2416666
2021-12-11,-3.4833333
2021-12-12,-4.385833
2021-12-13,-3.565833
2021-12-14,-2.8466666
2021-12-15,-1.2183332
2021-12-16,1.1183332
2021-12-17,0.7841666
2021-12-18,0.012499991
2021-12-19,2.0275
2021-12-20,-1.5149999
2021-12-21,-6.415833
2021-12-22,-9.435833
2021-12-23,-7.4424996
2021-12-24,-0.23416662
2021-12-25,-3.8258333
2021-12-26,-9.329166
2021-12-27,-7.0249996
2021-12-28,-3.1725
2021-12-29,-1.4458332
2021-12-30,0.535
2021-12-31,5.6725
