time,DEB3D
2021-11-30,-12.394568
2021-12-01,-14.4785185
2021-12-02,-13.207408
2021-12-03,-11.217283
2021-12-04,-9.752223
2021-12-05,-10.66642
2021-12-06,-13.727283
2021-12-07,-16.480122
2021-12-08,-9.393703
2021-12-09,-3.856296
2021-12-10,-2.4664197
2021-12-11,-1.1628394
2021-12-12,-1.6546913
2021-12-13,-0.8246913
2021-12-14,-2.3271606
2021-12-15,0.3343209
2021-12-16,0.12530866
2021-12-17,0.08395063
2021-12-18,2.9965432
2021-12-19,1.1966666
2021-12-20,-4.6743207
2021-12-21,-10.052962
2021-12-22,-7.128641
2021-12-23,-6.6155553
2021-12-24,-12.115433
2021-12-25,-9.457407
2021-12-26,-9.54321
2021-12-27,-13.32358
2021-12-28,-8.116543
2021-12-29,-9.802222
2021-12-30,-4.991729
2021-12-31,-4.48642
