time,FRJ28
2021-12-20,1.121111
2021-12-21,-4.2122216
2021-12-22,-5.6233335
2021-12-23,-6.3488884
2021-12-24,1.4177778
2021-12-25,-0.68888885
2021-12-26,-9.096667
2021-12-27,-9.72
2021-12-28,-5.2177777
2021-12-29,-2.7277777
2021-12-30,1.3144443
2021-12-31,7.174444
