time,BE224
2021-11-10,2.825
2021-11-11,1.3183333
2021-11-12,0.9391666
2021-11-13,5.773333
2021-11-14,8.4675
2021-11-15,7.2599998
2021-11-16,5.925833
2021-11-17,5.4600005
2021-11-18,6.5016665
2021-11-19,6.091667
2021-11-20,5.59
2021-11-21,3.9141665
2021-11-22,5.1841664
2021-11-23,2.4783332
2021-11-24,2.2391665
2021-11-25,0.4666666
2021-11-26,1.1658334
2021-11-27,2.3925
2021-11-28,1.5583333
2021-11-29,1.0875
2021-11-30,2.8275
2021-12-01,5.6225
2021-12-02,3.3458335
2021-12-03,0.49083337
2021-12-04,5.0375
2021-12-05,3.3608332
2021-12-06,1.9375
2021-12-07,3.5366666
2021-12-08,3.9708335
2021-12-09,1.9808332
2021-12-10,1.89
2021-12-11,2.5408332
2021-12-12,3.3508332
2021-12-13,5.4841666
2021-12-14,3.8474998
2021-12-15,5.1150002
2021-12-16,6.5833335
2021-12-17,5.86
2021-12-18,3.3641665
2021-12-19,3.0175
2021-12-20,3.3075
2021-12-21,-1.0341667
2021-12-22,-3.1541665
2021-12-23,1.0324999
2021-12-24,7.0875
2021-12-25,6.899166
2021-12-26,3.9683332
2021-12-27,7.6225
2021-12-28,9.154166
2021-12-29,9.724167
2021-12-30,13.170833
2021-12-31,9.788333
