time,PL214
2021-12-09,6.3733325
2021-12-10,6.5993333
2021-12-11,1.1466668
2021-12-12,2.5646667
2021-12-13,4.2493334
2021-12-14,1.6226667
2021-12-15,-0.93
2021-12-16,2.068
2021-12-17,-6.215333
2021-12-18,-3.3619998
2021-12-19,2.678
2021-12-20,-1.752
2021-12-21,-2.4086668
2021-12-22,-4.563333
2021-12-23,-5.0550003
2021-12-24,-0.91533333
2021-12-25,-10.849333
2021-12-26,-0.06333332
2021-12-27,7.182666
2021-12-28,8.764667
2021-12-29,3.9146662
2021-12-30,0.89666665
2021-12-31,0.6773333
