time,FRI21
2021-11-19,9.576667
2021-11-20,10.093332
2021-11-21,7.3933334
2021-11-22,5.0466666
2021-11-23,1.88
2021-11-24,4.745555
2021-11-25,1.7933333
2021-11-26,2.4444444
2021-11-27,1.7188888
2021-11-28,0.44777775
2021-11-29,0.4922222
2021-11-30,2.5333333
2021-12-01,3.3055553
2021-12-02,3.364444
2021-12-03,-0.037777774
2021-12-04,0.74777776
2021-12-05,0.8188889
2021-12-06,-0.17555554
2021-12-07,-0.72999996
2021-12-08,-1.6733333
2021-12-09,-1.6988888
2021-12-10,-0.8733332
2021-12-11,-2.4166667
2021-12-12,-1.6855555
2021-12-13,1.2033334
2021-12-14,3.8188887
2021-12-15,5.358889
2021-12-16,6.2144446
2021-12-17,4.2233334
2021-12-18,3.3666663
2021-12-19,4.8644447
2021-12-20,1.4199998
2021-12-21,-1.0233333
2021-12-22,-2.6577775
2021-12-23,-3.112222
2021-12-24,2.7111113
2021-12-25,-5.4388895
2021-12-26,-9.136667
2021-12-27,-6.6499996
2021-12-28,-2.6488888
2021-12-29,1.6566666
2021-12-30,6.2055554
2021-12-31,10.256666
