time,DEB3E
2021-10-13,19.363333
2021-10-14,17.953333
2021-10-15,17.64
2021-10-16,17.453333
2021-10-17,19.633333
2021-10-18,21.583334
2021-10-19,21.336664
2021-10-20,20.14
2021-10-21,16.513332
2021-10-22,16.266666
2021-10-23,14.856667
2021-10-24,14.94
2021-10-25,15.836667
2021-10-26,15.756665
2021-10-27,16.123333
2021-10-28,15.516665
2021-10-29,15.553333
2021-10-30,18.210001
2021-10-31,17.7
2021-11-01,14.876667
2021-11-02,13.206666
2021-11-03,10.263333
2021-11-04,9.633333
2021-11-05,9.553333
2021-11-06,9.716666
2021-11-07,10.123333
2021-11-08,12.29
2021-11-09,13.176666
2021-11-10,12.13
2021-11-11,11.389999
2021-11-12,11.036667
2021-11-13,11.329999
2021-11-14,10.533334
2021-11-15,9.716666
2021-11-16,11.360001
2021-11-17,11.88
2021-11-18,11.713333
2021-11-19,13.07
2021-11-20,14.173332
2021-11-21,12.383334
2021-11-22,9.463333
2021-11-23,7.25
2021-11-24,8.436667
2021-11-25,7.0399995
2021-11-26,6.7933335
2021-11-27,8.753333
2021-11-28,6.5499997
2021-11-29,11.149999
2021-11-30,8.863334
2021-12-01,8.626667
2021-12-02,9.483334
2021-12-03,8.143333
2021-12-04,11.91
2021-12-05,10.693334
2021-12-06,11.28
2021-12-07,12.666667
2021-12-08,10.18
2021-12-09,11.759999
2021-12-10,12.946667
2021-12-11,11.003333
2021-12-12,11.47
2021-12-13,12.513333
2021-12-14,10.596666
2021-12-15,10.329999
2021-12-16,10.106667
2021-12-17,9.839999
2021-12-18,9.346667
2021-12-19,10.7
2021-12-20,12.47
2021-12-21,15.316667
2021-12-22,14.956666
2021-12-23,14.346667
2021-12-24,12.889999
2021-12-25,13.623333
2021-12-26,14.59
2021-12-27,15.993333
2021-12-28,16.123331
2021-12-29,15.076667
2021-12-30,12.299999
2021-12-31,12.376666
