time,DEG0M
2021-11-03,6.8664703
2021-11-04,6.5017653
2021-11-05,7.99647
2021-11-06,5.8217645
2021-11-07,6.1811767
2021-11-08,4.288823
2021-11-09,-0.67117643
2021-11-10,2.4482353
2021-11-11,5.605294
2021-11-12,5.432353
2021-11-13,2.125294
2021-11-14,1.9241176
2021-11-15,-1.3111764
2021-11-16,-0.095882356
2021-11-17,1.3470587
2021-11-18,3.1870587
2021-11-19,5.055294
2021-11-20,6.314706
2021-11-21,3.8900003
2021-11-22,-1.9388235
2021-11-23,-1.2364706
2021-11-24,2.7229412
2021-11-25,4.1323524
2021-11-26,2.7929409
2021-11-27,1.2341176
2021-11-28,0.16470589
2021-11-29,0.089999996
2021-11-30,-2.6164703
2021-12-01,-3.3888235
2021-12-02,0.33999994
2021-12-03,-0.7335294
2021-12-04,-2.7288232
2021-12-05,-5.010588
2021-12-06,-11.285881
2021-12-07,-13.583529
2021-12-08,-14.07
2021-12-09,-12.454118
2021-12-10,-2.7011764
2021-12-11,1.9964705
2021-12-12,1.0394118
2021-12-13,-2.125294
2021-12-14,-2.214706
2021-12-15,0.9482352
2021-12-16,3.7305882
2021-12-17,2.4041176
2021-12-18,1.5588235
2021-12-19,2.1341176
2021-12-20,-4.3617644
2021-12-21,-10.157059
2021-12-22,-11.211176
2021-12-23,-8.609412
2021-12-24,-3.763529
2021-12-25,-5.4223523
2021-12-26,-6.076471
2021-12-27,-5.4770584
2021-12-28,-9.247059
2021-12-29,-10.571765
2021-12-30,-6.779412
2021-12-31,1.0911764
