time,DEG0E
2021-11-14,2.9945457
2021-11-15,1.0827272
2021-11-16,1.0690907
2021-11-17,1.4581817
2021-11-18,3.4463637
2021-11-19,6.179091
2021-11-20,7.11
2021-11-21,5.5990906
2021-11-22,-0.13636364
2021-11-23,-0.63818175
2021-11-24,2.9763634
2021-11-25,3.7772722
2021-11-26,3.078182
2021-11-27,2.3454547
2021-11-28,0.41454545
2021-11-29,1.2099999
2021-11-30,-0.85181814
2021-12-01,-2.4054546
2021-12-02,2.71
2021-12-03,0.28636363
2021-12-04,-0.7972727
2021-12-05,-2.2681818
2021-12-06,-7.211818
2021-12-07,-11.394546
2021-12-08,-11.177273
2021-12-09,-9.683636
2021-12-10,-2.0081818
2021-12-11,1.8627273
2021-12-12,0.2181818
2021-12-13,-2.2681818
2021-12-14,-3.5127273
2021-12-15,0.53090906
2021-12-16,3.6754546
2021-12-17,2.470909
2021-12-18,1.3045454
2021-12-19,1.6554545
2021-12-20,-2.7336361
2021-12-21,-8.1736355
2021-12-22,-11.184546
2021-12-23,-8.731818
2021-12-24,-2.580909
2021-12-25,-4.245455
2021-12-26,-4.667273
2021-12-27,-6.379091
2021-12-28,-8.596363
2021-12-29,-9.65909
2021-12-30,-5.6072726
2021-12-31,1.7609092
