time,NO0A3
2021-04-01,12.7375
2021-04-02,11.570001
2021-04-03,7.0125
2021-04-04,4.3487496
2021-04-05,5.79625
2021-04-06,4.5387497
2021-04-07,2.18875
2021-04-08,2.15625
2021-04-09,4.4049997
2021-04-10,7.1949997
2021-04-11,9.912498
2021-04-12,14.787499
2021-04-13,10.911249
2021-04-14,5.67375
2021-04-15,3.82875
2021-04-16,4.1925
2021-04-17,5.6875
2021-04-18,7.178749
2021-04-19,8.282499
2021-04-20,9.735
2021-04-21,9.8125
2021-04-22,10.786249
2021-04-23,8.78125
2021-04-24,7.6874995
2021-04-25,8.905
2021-04-26,7.6637497
2021-04-27,7.65625
2021-04-28,9.1525
2021-04-29,13.69625
2021-04-30,15.639999
2021-05-01,15.597499
2021-05-02,18.5975
2021-05-03,11.81375
2021-05-04,9.426249
2021-05-05,14.45625
2021-05-06,11.8475
2021-05-07,11.058749
2021-05-08,9.5199995
2021-05-09,9.575
2021-05-10,14.95
2021-05-11,17.45625
2021-05-12,19.13
2021-05-13,15.706249
2021-05-14,13.797501
2021-05-15,14.631249
2021-05-16,13.819999
2021-05-17,14.068748
2021-05-18,12.8025
2021-05-19,12.997499
2021-05-20,11.9
2021-05-21,13.773749
2021-05-22,14.40375
2021-05-23,16.111248
2021-05-24,14.92375
2021-05-25,19.089998
2021-05-26,15.56375
2021-05-27,16.175
2021-05-28,15.897499
2021-05-29,13.906249
2021-05-30,12.648749
2021-05-31,11.529999
2021-06-01,12.70875
2021-06-02,12.204999
2021-06-03,14.355
2021-06-04,16.574999
2021-06-05,16.953749
2021-06-06,17.977499
2021-06-07,17.58125
2021-06-08,18.53875
2021-06-09,19.255
2021-06-10,18.11
2021-06-11,17.8
2021-06-12,18.51375
2021-06-13,16.75125
2021-06-14,14.5075
2021-06-15,16.3675
2021-06-16,20.022501
2021-06-17,20.583748
2021-06-18,21.97625
2021-06-19,21.105
2021-06-20,20.9875
2021-06-21,22.085
2021-06-22,24.05
2021-06-23,25.7225
2021-06-24,26.136251
2021-06-25,26.2575
2021-06-26,21.915
2021-06-27,21.33375
2021-06-28,21.91375
2021-06-29,23.50875
2021-06-30,25.30375
2021-07-01,22.024998
2021-07-02,18.39
2021-07-03,17.2675
2021-07-04,18.571249
2021-07-05,19.94875
2021-07-06,22.1725
2021-07-07,23.70125
2021-07-08,24.94375
2021-07-09,25.536247
2021-07-10,23.28
2021-07-11,22.810001
2021-07-12,23.68
2021-07-13,24.07375
2021-07-14,25.829998
2021-07-15,25.245
2021-07-16,23.91
2021-07-17,24.161247
2021-07-18,24.333752
2021-07-19,22.185
2021-07-20,20.67875
2021-07-21,18.68375
2021-07-22,19.57625
2021-07-23,19.054998
2021-07-24,20.089998
2021-07-25,20.872501
2021-07-26,23.22625
2021-07-27,25.26
2021-07-28,25.265
2021-07-29,24.46
2021-07-30,23.498749
2021-07-31,23.837502
2021-08-01,24.0125
2021-08-02,22.345001
2021-08-03,19.99375
2021-08-04,20.703749
2021-08-05,21.60125
2021-08-06,18.53875
2021-08-07,19.311249
2021-08-08,21.7025
2021-08-09,22.91
2021-08-10,22.539999
2021-08-11,22.03125
2021-08-12,20.560001
2021-08-13,19.813751
2021-08-14,21.679998
2021-08-15,23.7725
2021-08-16,24.7175
2021-08-17,22.62625
2021-08-18,17.58375
2021-08-19,16.13125
2021-08-20,18.39625
2021-08-21,18.99625
2021-08-22,20.07
2021-08-23,21.087498
2021-08-24,19.73625
2021-08-25,15.822499
2021-08-26,15.622499
2021-08-27,14.04625
2021-08-28,14.38375
2021-08-29,14.49
2021-08-30,15.7925
2021-08-31,14.525
2021-09-01,15.541249
2021-09-02,14.77375
2021-09-03,14.69375
2021-09-04,15.965
2021-09-05,15.46875
2021-09-06,14.44375
2021-09-07,14.18
2021-09-08,15.664999
2021-09-09,15.833751
2021-09-10,16.64875
2021-09-11,17.59125
2021-09-12,17.973751
2021-09-13,18.61125
2021-09-14,18.89625
2021-09-15,19.262499
2021-09-16,20.17875
2021-09-17,19.935
2021-09-18,15.9175
2021-09-19,13.6075
2021-09-20,11.362499
2021-09-21,9.66
2021-09-22,8.5475
2021-09-23,9.7775
2021-09-24,12.16375
2021-09-25,14.0125
2021-09-26,17.195002
2021-09-27,16.45
2021-09-28,15.34875
2021-09-29,13.323749
2021-09-30,12.785
2021-10-01,13.359999
2021-10-02,12.11125
2021-10-03,12.799999
2021-10-04,12.989999
2021-10-05,14.648749
2021-10-06,12.8525
2021-10-07,12.0
2021-10-08,9.096251
2021-10-09,6.1525
2021-10-10,8.693749
2021-10-11,9.05375
2021-10-12,8.874999
2021-10-13,7.2424994
2021-10-14,6.19
2021-10-15,6.9975
2021-10-16,8.97125
2021-10-17,8.83375
2021-10-18,7.9750004
2021-10-19,8.53
2021-10-20,9.8575
2021-10-21,11.668751
2021-10-22,13.138749
2021-10-23,9.8025
2021-10-24,5.7599998
2021-10-25,5.5249996
2021-10-26,6.5025
2021-10-27,6.71625
2021-10-28,7.06375
2021-10-29,8.9887495
2021-10-30,10.30375
2021-10-31,8.63375
2021-11-01,6.365
2021-11-02,5.95625
2021-11-03,8.07375
2021-11-04,14.153749
2021-11-05,12.6025
2021-11-06,9.22
2021-11-07,7.6975
2021-11-08,7.7874994
2021-11-09,5.64375
2021-11-10,3.2412498
2021-11-11,2.4724998
2021-11-12,2.5687501
2021-11-13,3.4212499
2021-11-14,5.4324994
2021-11-15,5.3712497
2021-11-16,5.0987496
2021-11-17,2.8025
2021-11-18,0.9175
2021-11-19,4.02375
2021-11-20,7.52375
2021-11-21,5.42375
2021-11-22,3.6374996
2021-11-23,3.8849998
2021-11-24,0.76874995
2021-11-25,0.07500001
2021-11-26,3.985
2021-11-27,6.1362495
2021-11-28,7.7725
2021-11-29,6.1362495
2021-11-30,1.07375
2021-12-01,2.91875
2021-12-02,6.5637503
2021-12-03,4.0675
2021-12-04,-2.4025
2021-12-05,0.09874999
2021-12-06,3.3024998
2021-12-07,1.5912501
2021-12-08,0.122499995
2021-12-09,0.32625
2021-12-10,2.86125
2021-12-11,2.3712502
2021-12-12,2.77875
2021-12-13,1.2175
2021-12-14,-0.43124998
2021-12-15,0.20875
2021-12-16,1.355
2021-12-17,2.28875
2021-12-18,1.81375
2021-12-19,3.1262498
2021-12-20,1.1325
2021-12-21,-3.58875
2021-12-22,-6.1887503
2021-12-23,-6.29
2021-12-24,0.21499999
2021-12-25,3.79125
2021-12-26,0.9512499
2021-12-27,-0.77625
2021-12-28,-0.04374999
2021-12-29,0.63499993
2021-12-30,2.41375
2021-12-31,4.0337496
