time,BG314
2021-12-19,6.7950006
2021-12-20,6.2464285
2021-12-21,8.855
2021-12-22,9.305715
2021-12-23,8.113571
2021-12-24,9.311429
2021-12-25,8.297856
2021-12-26,9.474999
2021-12-27,11.295714
2021-12-28,10.28357
2021-12-29,9.1685705
2021-12-30,10.151428
2021-12-31,10.428572
