time,EE001
2021-09-03,15.98
2021-09-04,13.94
2021-09-05,15.63
2021-09-06,16.279999
2021-09-07,16.69
2021-09-08,17.43
2021-09-09,19.09
2021-09-10,19.34
2021-09-11,19.02
2021-09-12,17.84
2021-09-13,15.509999
2021-09-14,15.49
2021-09-15,18.119999
2021-09-16,17.41
2021-09-17,14.65
2021-09-18,13.929999
2021-09-19,12.86
2021-09-20,12.509999
2021-09-21,12.58
2021-09-22,13.38
2021-09-23,14.549999
2021-09-24,14.99
2021-09-25,17.05
2021-09-26,18.57
2021-09-27,17.359999
2021-09-28,15.15
2021-09-29,13.38
2021-09-30,11.059999
2021-10-01,11.98
2021-10-02,13.809999
2021-10-03,17.74
2021-10-04,14.219999
2021-10-05,12.69
2021-10-06,12.59
2021-10-07,11.33
2021-10-08,11.66
2021-10-09,8.46
2021-10-10,7.0899997
2021-10-11,8.3
2021-10-12,8.49
2021-10-13,7.64
2021-10-14,10.82
2021-10-15,10.65
2021-10-16,8.9
2021-10-17,9.49
2021-10-18,11.2
2021-10-19,12.44
2021-10-20,15.679999
2021-10-21,12.66
2021-10-22,7.31
2021-10-23,6.99
2021-10-24,7.0099998
2021-10-25,5.79
2021-10-26,9.22
2021-10-27,12.32
2021-10-28,10.679999
2021-10-29,8.389999
2021-10-30,9.639999
2021-10-31,12.96
2021-11-01,10.16
2021-11-02,8.91
2021-11-03,6.17
2021-11-04,6.79
2021-11-05,8.099999
2021-11-06,9.0199995
2021-11-07,8.29
2021-11-08,8.53
2021-11-09,7.98
2021-11-10,4.3399997
2021-11-11,4.8399997
2021-11-12,7.1499996
2021-11-13,4.67
2021-11-14,5.64
2021-11-15,5.56
2021-11-16,5.85
2021-11-17,5.62
2021-11-18,7.8599997
2021-11-19,11.469999
2021-11-20,10.95
2021-11-21,7.6499996
2021-11-22,3.29
2021-11-23,5.0499997
2021-11-24,6.7599998
2021-11-25,4.52
2021-11-26,4.2999997
2021-11-27,1.6899999
2021-11-28,1.51
2021-11-29,2.02
2021-11-30,3.27
2021-12-01,5.62
2021-12-02,2.1
2021-12-03,0.87
2021-12-04,1.4699999
2021-12-05,0.64
2021-12-06,0.45999998
2021-12-07,-0.48999998
2021-12-08,-0.24
2021-12-09,-1.29
2021-12-10,-0.38
2021-12-11,-0.61
2021-12-12,0.96999997
2021-12-13,6.85
2021-12-14,7.39
2021-12-15,8.51
2021-12-16,7.33
2021-12-17,5.18
2021-12-18,5.8399997
2021-12-19,5.8199997
2021-12-20,0.97999996
2021-12-21,0.25
2021-12-22,-0.74
2021-12-23,-1.1899999
2021-12-24,1.54
2021-12-25,-6.44
2021-12-26,-7.06
2021-12-27,-4.0099998
2021-12-28,-0.97999996
2021-12-29,3.58
2021-12-30,8.79
2021-12-31,12.759999
