time,FRH03
2021-11-19,10.384286
2021-11-20,10.922857
2021-11-21,7.9642854
2021-11-22,4.004286
2021-11-23,4.3428574
2021-11-24,6.9700003
2021-11-25,5.247143
2021-11-26,3.9685714
2021-11-27,2.3999999
2021-11-28,2.2514284
2021-11-29,2.2342856
2021-11-30,1.7085714
2021-12-01,2.2357142
2021-12-02,3.6128566
2021-12-03,0.63285714
2021-12-04,0.99999994
2021-12-05,0.43571427
2021-12-06,-0.28714284
2021-12-07,-2.8585715
2021-12-08,-3.787143
2021-12-09,-3.6457143
2021-12-10,-1.2257143
2021-12-11,-0.95428574
2021-12-12,-1.17
2021-12-13,1.5071429
2021-12-14,4.195714
2021-12-15,6.0242853
2021-12-16,7.027142
2021-12-17,4.9514284
2021-12-18,4.5071425
2021-12-19,4.5685716
2021-12-20,1.9557143
2021-12-21,-0.37857142
2021-12-22,-2.6571426
2021-12-23,-1.7442856
2021-12-24,-0.56714284
2021-12-25,-4.6085715
2021-12-26,-6.44
2021-12-27,-6.59
2021-12-28,-4.1514287
2021-12-29,-0.75428575
2021-12-30,3.277143
2021-12-31,8.86857
