time,DED2D
2021-12-18,-1.005
2021-12-19,1.725
2021-12-20,-1.1533333
2021-12-21,-3.926667
2021-12-22,-3.585
2021-12-23,-1.2783333
2021-12-24,1.9933332
2021-12-25,3.1266663
2021-12-26,-0.18999998
2021-12-27,0.29999998
2021-12-28,1.5016665
2021-12-29,2.7033331
2021-12-30,4.54
2021-12-31,5.011667
