time,DEB1B
2021-08-09,24.802
2021-08-10,24.254002
2021-08-11,24.744
2021-08-12,25.49
2021-08-13,25.293999
2021-08-14,26.012
2021-08-15,27.307999
2021-08-16,26.357998
2021-08-17,22.118
2021-08-18,20.342
2021-08-19,20.712
2021-08-20,21.544
2021-08-21,22.527998
2021-08-22,24.226
2021-08-23,20.616
2021-08-24,19.634
2021-08-25,18.286
2021-08-26,20.924
2021-08-27,17.112
2021-08-28,14.768001
2021-08-29,16.144
2021-08-30,18.28
2021-08-31,17.168001
2021-09-01,17.776001
2021-09-02,17.935999
2021-09-03,17.65
2021-09-04,16.63
2021-09-05,17.528
2021-09-06,17.406
2021-09-07,17.452
2021-09-08,17.407999
2021-09-09,17.866001
2021-09-10,18.674
2021-09-11,19.01
2021-09-12,18.914
2021-09-13,20.098001
2021-09-14,21.155998
2021-09-15,21.473999
2021-09-16,19.496
2021-09-17,18.885998
2021-09-18,19.244
2021-09-19,17.207998
2021-09-20,15.736
2021-09-21,14.016001
2021-09-22,14.144
2021-09-23,14.898
2021-09-24,17.703999
2021-09-25,18.39
2021-09-26,17.52
2021-09-27,17.75
2021-09-28,16.81
2021-09-29,17.883999
2021-09-30,16.072
2021-10-01,15.081999
2021-10-02,16.058
2021-10-03,17.963999
2021-10-04,18.371998
2021-10-05,15.983998
2021-10-06,14.317999
2021-10-07,11.247999
2021-10-08,11.317999
2021-10-09,10.328
2021-10-10,8.311999
2021-10-11,8.714
2021-10-12,10.268
2021-10-13,9.3619995
2021-10-14,7.6540003
2021-10-15,8.36
2021-10-16,8.555999
2021-10-17,10.207999
2021-10-18,9.944
2021-10-19,12.148
2021-10-20,12.465999
2021-10-21,13.967999
2021-10-22,13.422
2021-10-23,12.605999
2021-10-24,10.258
2021-10-25,9.190001
2021-10-26,9.206
2021-10-27,9.414
2021-10-28,9.146
2021-10-29,9.053999
2021-10-30,10.205999
2021-10-31,10.988001
2021-11-01,13.098
2021-11-02,12.25
2021-11-03,13.162
2021-11-04,10.948
2021-11-05,8.568
2021-11-06,8.690001
2021-11-07,8.4939995
2021-11-08,9.179999
2021-11-09,9.138
2021-11-10,10.738
2021-11-11,10.49
2021-11-12,10.434
2021-11-13,10.705999
2021-11-14,11.494
2021-11-15,11.6779995
2021-11-16,8.351999
2021-11-17,8.946
2021-11-18,9.836
2021-11-19,9.48
2021-11-20,10.0720005
2021-11-21,9.336
2021-11-22,9.449999
2021-11-23,7.65
2021-11-24,6.1899996
2021-11-25,7.2319994
2021-11-26,7.6699996
2021-11-27,8.21
2021-11-28,4.7799997
2021-11-29,1.2659999
2021-11-30,2.7220001
2021-12-01,5.498
2021-12-02,5.904
2021-12-03,3.764
2021-12-04,4.1179996
2021-12-05,5.6159997
2021-12-06,1.406
2021-12-07,1.9719999
2021-12-08,4.4560003
2021-12-09,2.418
2021-12-10,1.9200001
2021-12-11,2.284
2021-12-12,2.2259998
2021-12-13,5.0099998
2021-12-14,5.112
2021-12-15,4.0039997
2021-12-16,3.4459999
2021-12-17,4.71
2021-12-18,2.8939998
2021-12-19,5.824
2021-12-20,4.694
2021-12-21,4.652
2021-12-22,3.1740003
2021-12-23,4.514
2021-12-24,7.7119994
2021-12-25,8.167999
2021-12-26,6.8980002
2021-12-27,7.636
2021-12-28,8.222
2021-12-29,8.622
2021-12-30,9.059999
2021-12-31,10.837999
