time,SE322
2021-05-26,10.96
2021-05-27,12.69
2021-05-28,13.599999
2021-05-29,15.549999
2021-05-30,14.28
2021-05-31,15.7699995
2021-06-01,17.71
2021-06-02,19.34
2021-06-03,18.32
2021-06-04,14.48
2021-06-05,15.25
2021-06-06,16.17
2021-06-07,16.21
2021-06-08,16.4
2021-06-09,17.06
2021-06-10,18.039999
2021-06-11,18.72
2021-06-12,17.94
2021-06-13,19.0
2021-06-14,20.23
2021-06-15,18.88
2021-06-16,20.439999
2021-06-17,19.33
2021-06-18,15.849999
2021-06-19,14.099999
2021-06-20,15.679999
2021-06-21,13.24
2021-06-22,14.25
2021-06-23,13.65
2021-06-24,14.42
2021-06-25,17.15
2021-06-26,16.66
2021-06-27,17.6
2021-06-28,17.26
2021-06-29,16.4
2021-06-30,14.98
2021-07-01,15.91
2021-07-02,18.19
2021-07-03,18.369999
2021-07-04,17.83
2021-07-05,16.71
2021-07-06,16.369999
2021-07-07,16.3
2021-07-08,17.06
2021-07-09,17.869999
2021-07-10,15.849999
2021-07-11,15.929999
2021-07-12,17.47
2021-07-13,18.17
2021-07-14,18.859999
2021-07-15,17.99
2021-07-16,17.8
2021-07-17,19.82
2021-07-18,21.789999
2021-07-19,22.71
2021-07-20,22.67
2021-07-21,22.23
2021-07-22,21.84
2021-07-23,19.74
2021-07-24,19.279999
2021-07-25,18.49
2021-07-26,19.41
2021-07-27,18.21
2021-07-28,18.529999
2021-07-29,16.89
2021-07-30,16.82
2021-07-31,16.96
2021-08-01,16.75
2021-08-02,15.88
2021-08-03,15.9
2021-08-04,16.51
2021-08-05,16.779999
2021-08-06,18.06
2021-08-07,16.609999
2021-08-08,16.49
2021-08-09,16.869999
2021-08-10,17.619999
2021-08-11,17.23
2021-08-12,18.64
2021-08-13,17.59
2021-08-14,18.97
2021-08-15,18.49
2021-08-16,16.109999
2021-08-17,14.719999
2021-08-18,18.31
2021-08-19,16.76
2021-08-20,17.51
2021-08-21,18.119999
2021-08-22,18.16
2021-08-23,17.779999
2021-08-24,17.63
2021-08-25,17.16
2021-08-26,16.5
2021-08-27,15.82
2021-08-28,15.809999
2021-08-29,15.32
2021-08-30,15.75
2021-08-31,16.72
2021-09-01,16.46
2021-09-02,17.199999
2021-09-03,17.279999
2021-09-04,16.93
2021-09-05,19.47
2021-09-06,20.47
2021-09-07,21.67
2021-09-08,21.6
2021-09-09,20.05
2021-09-10,19.58
2021-09-11,18.76
2021-09-12,15.95
2021-09-13,16.699999
2021-09-14,18.47
2021-09-15,17.77
2021-09-16,16.67
2021-09-17,16.92
2021-09-18,18.31
2021-09-19,16.72
2021-09-20,16.09
2021-09-21,15.17
2021-09-22,15.389999
2021-09-23,15.46
2021-09-24,17.38
2021-09-25,16.52
2021-09-26,17.44
2021-09-27,16.56
2021-09-28,14.24
2021-09-29,12.28
2021-09-30,11.559999
2021-10-01,15.589999
2021-10-02,11.559999
2021-10-03,13.75
2021-10-04,13.65
2021-10-05,13.2
2021-10-06,13.4
2021-10-07,14.0
2021-10-08,15.44
2021-10-09,13.04
2021-10-10,13.389999
2021-10-11,11.67
2021-10-12,11.41
2021-10-13,12.07
2021-10-14,13.349999
2021-10-15,12.509999
2021-10-16,12.349999
2021-10-17,12.929999
2021-10-18,13.0
2021-10-19,17.89
2021-10-20,16.539999
2021-10-21,10.42
2021-10-22,9.36
2021-10-23,11.46
2021-10-24,12.17
2021-10-25,13.63
2021-10-26,12.24
2021-10-27,14.98
2021-10-28,13.639999
2021-10-29,13.5199995
2021-10-30,11.86
2021-10-31,11.05
2021-11-01,11.21
2021-11-02,8.07
2021-11-03,6.3999996
2021-11-04,7.74
2021-11-05,6.66
2021-11-06,9.49
2021-11-07,10.78
2021-11-08,7.71
2021-11-09,12.07
2021-11-10,11.19
2021-11-11,11.67
2021-11-12,10.62
2021-11-13,11.639999
2021-11-14,11.61
2021-11-15,10.38
2021-11-16,7.6499996
2021-11-17,9.5199995
2021-11-18,8.75
2021-11-19,11.04
2021-11-20,10.05
2021-11-21,7.58
2021-11-22,6.85
2021-11-23,5.6099997
2021-11-24,4.77
2021-11-25,5.2999997
2021-11-26,5.56
2021-11-27,4.0699997
2021-11-28,2.76
2021-11-29,1.13
2021-11-30,7.3799996
2021-12-01,9.87
2021-12-02,3.73
2021-12-03,4.5899997
2021-12-04,6.3799996
2021-12-05,5.2599998
2021-12-06,4.85
2021-12-07,4.52
2021-12-08,6.43
2021-12-09,6.25
2021-12-10,6.3399997
2021-12-11,5.0899997
2021-12-12,10.719999
2021-12-13,10.58
2021-12-14,10.46
2021-12-15,10.94
2021-12-16,10.34
2021-12-17,9.23
2021-12-18,8.09
2021-12-19,5.52
2021-12-20,5.8799996
2021-12-21,4.66
2021-12-22,1.04
2021-12-23,6.04
2021-12-24,8.26
2021-12-25,8.349999
2021-12-26,8.099999
2021-12-27,8.82
2021-12-28,10.45
2021-12-29,11.21
2021-12-30,12.58
2021-12-31,13.11
