time,DEG0B
2021-12-14,-7.966313
2021-12-15,-2.7559218
2021-12-16,-0.9387709
2021-12-17,0.30385473
2021-12-18,0.6445252
2021-12-19,-1.4368715
2021-12-20,-12.974413
2021-12-21,-20.644022
2021-12-22,-22.435865
2021-12-23,-10.57648
2021-12-24,-12.166145
2021-12-25,-9.027765
2021-12-26,-17.616425
2021-12-27,-22.016647
2021-12-28,-14.567485
2021-12-29,-8.748827
2021-12-30,-7.6682673
2021-12-31,-10.238436
