time,DEA1E
2021-11-15,5.2174997
2021-11-16,5.984999
2021-11-17,4.9783335
2021-11-18,7.61
2021-11-19,8.094167
2021-11-20,10.348332
2021-11-21,5.970833
2021-11-22,5.1558337
2021-11-23,3.0408332
2021-11-24,1.1166667
2021-11-25,1.5983332
2021-11-26,3.2849998
2021-11-27,1.27
2021-11-28,4.675833
2021-11-29,2.8266666
2021-11-30,1.9633332
2021-12-01,3.6841662
2021-12-02,5.730833
2021-12-03,2.9925003
2021-12-04,-1.4625
2021-12-05,0.83666664
2021-12-06,2.2991667
2021-12-07,0.12833335
2021-12-08,-1.4499999
2021-12-09,0.53583336
2021-12-10,0.5066666
2021-12-11,0.83916664
2021-12-12,0.16249998
2021-12-13,0.22833334
2021-12-14,-0.63916665
2021-12-15,1.9024998
2021-12-16,3.6041667
2021-12-17,4.7041664
2021-12-18,3.34
2021-12-19,3.6716664
2021-12-20,2.0475
2021-12-21,-1.1925
2021-12-22,-2.7841663
2021-12-23,-4.3675
2021-12-24,1.0866666
2021-12-25,3.0583334
2021-12-26,-0.8833334
2021-12-27,-0.55249995
2021-12-28,-0.38083336
2021-12-29,1.2891666
2021-12-30,2.9025002
2021-12-31,8.89
