time,DE80M
2021-12-15,9.842221
2021-12-16,9.622222
2021-12-17,5.9933333
2021-12-18,6.9522223
2021-12-19,4.8344445
2021-12-20,5.3944445
2021-12-21,3.5333333
2021-12-22,1.351111
2021-12-23,4.7322216
2021-12-24,7.106666
2021-12-25,5.228888
2021-12-26,5.2177777
2021-12-27,7.6366663
2021-12-28,9.004444
2021-12-29,9.6022215
2021-12-30,11.974444
2021-12-31,13.094443
